"",,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",35,6.1,60,9.6,65,9.9,50,7.6,37,5.7
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",21,16.9,"N/A","N/A","N/A","N/A",18,15.8,"N/A","N/A"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",23,4.1,67,11.6,63,11.3,87,16.6,60,11.0
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",74,23.1,56,17.7,62,19.1,70,19.1,85,20.6
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",58,8.5,84,11.5,49,6.2,36,4.2,"N/A","N/A"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","N/A","N/A",12,9.2,"*","*","N/A","N/A","*","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""",134,27.7,106,21.8,141,30.3,118,27.1,37,9.0
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",76,22.6,70,20.2,69,19.3,63,17.7,40,11.1
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","N/A","N/A",17,21.0,23,13.9,45,18.8,57,19.1
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",49,10.1,59,12.1,45,9.2,34,7.3,26,5.6
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""",31,13.7,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",114,23.5,52,8.5,52,9.9,51,10.5,52,12.2
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",73,19.8,36,9.5,90,26.9,54,16.4,63,20.5
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",194,31.3,212,31.2,215,31.1,170,24.4,167,24.3
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""","N/A","N/A","N/A","N/A","N/A","N/A",26,6.2,45,10.6
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",64,16.9,48,12.1,43,10.9,"N/A","N/A","N/A","N/A"
"Hartford School District","=""0640011""","West Middle School","=""0642111""",111,16.9,67,10.9,42,8.6,33,8.5,70,18.5
"Hartland School District","=""0650011""","Hartland School","=""0650111""","*","*","*","*","*","*","N/A","N/A","*","*"
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","N/A","N/A","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","*","*","*","*","*","*","*","*",8,1.8
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",11,3.3,7,2.1,25,7.1,26,6.7,95,21.3
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",16,4.9,7,2.2,20,6.1,"*","*",12,3.6
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",55,29.9,32,17.2,34,14.7,51,19.8,33,12.5
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",19,3.9,42,7.2,64,9.2,87,12.0,78,10.7
"Kent School District","=""0680011""","Kent Center School","=""0680111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Kent School District","=""0680011""","LEAPSS","=""0680211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","N/A","N/A","N/A","N/A","N/A","N/A",8,30.8,7,"*"
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",9,1.8,7,1.5,9,2.3,15,3.8,9,2.3
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",94,11.6,165,18.4,143,16.7,119,15.2,106,13.1
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",91,11.1,113,14.4,86,11.3,72,10.1,48,7.0
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""","*","*",6,1.4,10,2.3,7,1.5,"*","*"
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",43,17.8,82,25.7,51,13.4,46,11.6,73,17.2
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",6,7.4,9,8.8,10,9.0,13,9.7,22,15.6
"Learn","=""2450014""","Goodwin College Early Childhood Interdistrict Magnet School","=""2450314""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Learn","=""2450014""","LEARN ABA Program at Center School","=""2451214""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Learn","=""2450014""","LEARN Haynes Elementary Intensive Program","=""2451114""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Learn","=""2450014""","LEARN High School ABA at MS","=""2450614""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Learn","=""2450014""","LEARN Kelly Middle School Intensive Program","=""2450914""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Learn","=""2450014""","LEARN Ledyard RICHES Program","=""2450714""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Learn","=""2450014""","LEARN SAILS Middle School Program","=""2450814""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Learn","=""2450014""","LEARN SAILS Program at Salem","=""2451014""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Learn","=""2450014""","LEARN STS 18-21 Year Old Program","=""2450414""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Learn","=""2450014""","Learn ABA Program at Center School","=""2451214""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Learn","=""2450014""","Learn Haynes Elementary Intensive Program","=""2451114""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Learn","=""2450014""","Learn High School ABA at MS","=""2450614""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Learn","=""2450014""","Learn Kelly Middle School Intensive Program","=""2450914""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Learn","=""2450014""","Learn Ledyard RICHES Program","=""2450714""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Learn","=""2450014""","Learn Pathways Program","=""2450514""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Learn","=""2450014""","Learn SAILS Program at Salem","=""2451014""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Learn","=""2450014""","Learn STS 18-21 Year Old Program","=""2450414""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Learn","=""2450014""","Learn Special Education","=""2459014""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",16,15.5,7,4.0,30,12.1,15,5.7,27,10.2
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",18,3.4,13,2.4,15,2.9,19,3.7,16,3.0
"Learn","=""2450014""","The Friendship School","=""2450214""","*","*","*","*","*","*","*","*","N/A","N/A"
"Learn","=""2450014""","Three Rivers Middle College Magnet School","=""2456214""","N/A","N/A","*","*","N/A","N/A","N/A","N/A","*","*"
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""",11,2.4,"*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",27,7.0,18,4.7,"*","*","*","*","*","*"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",30,6.7,28,6.7,11,2.8,30,7.9,23,6.1
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",8,2.2,12,3.3,17,4.6,15,4.1,21,6.1
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",15,5.4,7,2.5,13,4.6,6,2.1,"*","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","*","*",12,2.9,10,2.3,9,2.2,7,1.7
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",63,6.8,60,6.3,59,6.4,71,8.1,65,7.8
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",42,10.8,19,5.4,14,4.0,39,11.3,18,5.6
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",12,48.0,8,"*","N/A","N/A","N/A","N/A","N/A","N/A"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",7,1.5,7,1.6,"*","*",6,1.5,10,2.6
"Litchfield School District","=""0740011""","Center School","=""0740211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",62,11.6,45,9.1,43,9.1,42,8.8,29,9.7
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","*","*",6,2.4,"*","*",6,2.6,10,4.6
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",9,5.3
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",50,3.9,69,5.5,33,2.6,45,3.7,35,3.0
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","N/A","N/A","*","*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",22,3.6,12,2.0,9,1.6,6,1.1,10,1.8
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""","N/A","N/A","N/A","N/A","N/A","N/A",28,43.1,32,48.5
"Manchester School District","=""0770011""","Bowers School","=""0770111""",8,2.0,"*","*",7,1.6,"*","*","N/A","N/A"
"Manchester School District","=""0770011""","Buckley School","=""0770311""",10,2.3,16,4.4,18,4.7,13,3.5,"N/A","N/A"
"Manchester School District","=""0770011""","Elementary Site 2","=""0771111""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",64,15.0,16,3.8,16,4.2,33,8.0,38,8.8
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","N/A","N/A","*","*","N/A","N/A","*","*",8,3.0
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",150,17.8,142,17.6,156,18.7,107,13.3,100,12.7
"Manchester School District","=""0770011""","Keeney School","=""0770611""","*","*",11,3.2,15,4.3,7,2.0,"*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",227,13.0,272,16.5,244,15.1,211,13.9,241,15.6
"Manchester School District","=""0770011""","Manchester Preschool - Site 2","=""0770811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",61,54.5,59,53.6,70,58.3,56,71.8,68,78.2
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""","N/A","*","N/A","*","*","*","N/A","*","N/A","*"
"Manchester School District","=""0770011""","Martin School","=""0771611""",8,3.2,7,2.5,12,4.2,21,7.9,10,3.6
"Manchester School District","=""0770011""","Nathan Hale School","=""0770911""",26,9.2,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Manchester School District","=""0770011""","New Horizons","=""0770711""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Manchester School District","=""0770011""","Robertson School","=""0771011""",25,6.9,13,3.7,17,4.8,11,2.9,7,2.0
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",43,12.4,32,9.7,23,6.1,7,1.7,7,1.8
"Manchester School District","=""0770011""","Waddell School","=""0771311""",22,6.4,28,8.2,15,4.2,20,5.5,17,4.7
"Manchester School District","=""0770011""","Washington School","=""0771411""",20,6.5,36,9.5,45,11.9,33,9.2,41,11.1
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""","*","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",18,3.1,18,3.2,13,2.4,23,4.4,31,5.9
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A"
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""","*","*",9,1.4,6,1.0,"*","*","*","*"
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",19,3.6,22,4.7,21,5.0,13,3.5,"*","*"
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",16,2.3,24,4.2,12,2.1,13,2.3,8,1.5
"Meriden School District","=""0800011""","Community Classroom Collaborative-Meriden School District","=""0800211""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",355,28.3,298,24.5,198,16.8,224,18.6,170,14.6
"Meriden School District","=""0800011""","Hanover School","=""0800311""",18,3.4,"*","*",15,2.4,16,2.6,6,1.0
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",127,23.9,42,7.4,"*","*",6,1.0,"*","*"
"Meriden School District","=""0800011""","John Barry School","=""0800511""",32,6.2,16,3.2,40,7.6,14,2.8,7,1.5
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",156,21.6,159,20.9,147,18.9,121,15.9,87,11.8
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",11,1.8,17,2.8,15,2.5,13,2.0,12,1.9
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",367,33.0,296,25.2,208,18.5,209,19.9,165,16.6
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",17,3.2,23,4.6,23,4.4,8,1.5,18,3.1
"Meriden School District","=""0800011""","STARS-Meriden School District","=""0800611""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Meriden School District","=""0800011""","STEP-Meriden School District","=""0800911""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Meriden School District","=""0800011""","Steps-Meriden School District","=""0801211""","N/A","N/A","N/A","N/A","N/A","N/A",8,36.4,15,46.9
"Meriden School District","=""0800011""","Success Academy","=""0801411""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",15,3.5,10,2.3,"*","*",12,2.6,"*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""","N/A","N/A","N/A","N/A","N/A","N/A",17,32.7,35,56.5
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",248,29.4,203,25.0,192,25.2,146,21.1,95,14.1
"Middletown School District","=""0830011""","Bielefield School","=""0830211""",7,2.2,"N/A","N/A",13,4.2,11,3.7,15,5.1
"Middletown School District","=""0830011""","Evening Program - MHS","=""0831611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""",43,12.4,18,5.4,16,4.3,10,2.7,22,6.5
"Middletown School District","=""0830011""","ICM - Farm Hill","=""0830611""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","*"
"Middletown School District","=""0830011""","ICM - Lawrence","=""0830711""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Middletown School District","=""0830011""","ICM - Macdonough","=""0831011""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Middletown School District","=""0830011""","ICM - Spencer","=""0832011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Middletown School District","=""0830011""","ICM - Wesley","=""0830811""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
