"school_code","district_code","district","school","english_learner_status","2011_12","2012_13","2013_14","2014_15","2015_16"
"2410514","2410014","Capitol Region Education Council","Museum Academy","Non-ELL","*","*","*","7.5","8.6"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","ELL","*","*","*","*","*"
"2415214","2410014","Capitol Region Education Council","Public Safety Academy","Non-ELL","*","*","*","*","*"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","ELL","*","*","*","*","*"
"2410314","2410014","Capitol Region Education Council","Reggio Magnet School of the Arts","Non-ELL","*","*","*","*","*"
"2419514","2410014","Capitol Region Education Council","River Street Early Learning Center (Site 2)","Non-ELL","*","*","*","24.1","12.7"
"2419314","2410014","Capitol Region Education Council","River Street School","Non-ELL","14.7","17.6","17.8","17.0","15.8"
"2419714","2410014","Capitol Region Education Council","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","Non-ELL","","","*","",""
"2419114","2410014","Capitol Region Education Council","Soundbridge","Non-ELL","*","25.0","23.3","*","*"
"2411114","2410014","Capitol Region Education Council","Soundbridge @ Academy of Aerospace & Engineering Elementary","Non-ELL","","","","*","*"
"2411214","2410014","Capitol Region Education Council","Soundbridge @ Museum Academy","Non-ELL","","","","*","*"
"2410914","2410014","Capitol Region Education Council","Soundbridge @ Silas Deane Middle School","Non-ELL","","","","*",""
"2411014","2410014","Capitol Region Education Council","Soundbridge @ Wethersfield High School","Non-ELL","","","","*","*"
"2419714","2410014","Capitol Region Education Council","Strive (Southern Transition Real-World and Independent Vocational Education Program","Non-ELL","","","","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","ELL","","*","*","*","*"
"2416714","2410014","Capitol Region Education Council","Two Rivers Magnet High School","Non-ELL","","*","*","*","*"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","ELL","*","*","*","*","*"
"2415014","2410014","Capitol Region Education Council","Two Rivers Magnet Middle School","Non-ELL","*","*","*","*","*"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","ELL","*","*","*","*","*"
"2410214","2410014","Capitol Region Education Council","University of Hartford Magnet School","Non-ELL","*","*","*","*","*"
"0240211","0240011","Chaplin School District","Chaplin Elementary School","ELL","","*","*","*",""
"0240211","0240011","Chaplin School District","Chaplin Elementary School","Non-ELL","9.6","*","*","*","10.1"
"0250111","0250011","Cheshire School District","Chapman School","ELL","*","*","*","*","*"
"0250111","0250011","Cheshire School District","Chapman School","Non-ELL","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","ELL","*","*","*","*","*"
"0256111","0250011","Cheshire School District","Cheshire High School","Non-ELL","*","*","*","*","*"
"0250311","0250011","Cheshire School District","Cheshire Quinnipiac University Transition Collaborative","Non-ELL","","","","*","*"
"0250211","0250011","Cheshire School District","Darcey School","ELL","*","*","*","*","*"
"0250211","0250011","Cheshire School District","Darcey School","Non-ELL","*","*","*","*","*"
"0255111","0250011","Cheshire School District","Dodd Middle School","ELL","*","*","*","*","*"
"0255111","0250011","Cheshire School District","Dodd Middle School","Non-ELL","*","*","*","*","*"
"0250611","0250011","Cheshire School District","Doolittle School","ELL","*","*","*","*","*"
"0250611","0250011","Cheshire School District","Doolittle School","Non-ELL","*","*","*","*","*"
"0250411","0250011","Cheshire School District","Highland School","ELL","*","*","*","*","*"
"0250411","0250011","Cheshire School District","Highland School","Non-ELL","*","0.0","3.5","1.7","4.3"
"0250911","0250011","Cheshire School District","Humiston Alternative School","Non-ELL","","","","90.3","68.0"
"0259011","0250011","Cheshire School District","Humiston School","Non-ELL","29.6","25.9","*","",""
"0250511","0250011","Cheshire School District","Norton School","ELL","*","*","*","*","*"
"0250511","0250011","Cheshire School District","Norton School","Non-ELL","*","*","*","*","*"
"0260111","0260011","Chester School District","Chester Elementary School","ELL","*","","*","","*"
"0260111","0260011","Chester School District","Chester Elementary School","Non-ELL","*","9.2","*","*","*"
"0270111","0270011","Clinton School District","Abraham Pierson School","ELL","*","*","*","*","*"
"0270111","0270011","Clinton School District","Abraham Pierson School","Non-ELL","*","*","*","*","*"
"0275111","0270011","Clinton School District","Jared Eliot School","ELL","*","*","*","*","*"
"0275111","0270011","Clinton School District","Jared Eliot School","Non-ELL","*","*","*","*","*"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","ELL","*","0.0","*","0.0","0.0"
"0270311","0270011","Clinton School District","Lewin G. Joel Jr. School","Non-ELL","*","5.3","*","3.3","3.8"
"0276111","0270011","Clinton School District","The Morgan School","ELL","*","*","*","*","*"
"0276111","0270011","Clinton School District","The Morgan School","Non-ELL","*","*","*","*","*"
"0286111","0280011","Colchester School District","Bacon Academy","ELL","*","*","*","*","*"
"0286111","0280011","Colchester School District","Bacon Academy","Non-ELL","*","*","*","*","*"
"0280511","0280011","Colchester School District","Bacon Academy Alternative Education","Non-ELL","","","","*","*"
"0280411","0280011","Colchester School District","Colchester Elementary School","ELL","*","*","*","*","*"
"0280411","0280011","Colchester School District","Colchester Elementary School","Non-ELL","*","*","*","*","*"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","ELL","*","*","*","*","*"
"0280211","0280011","Colchester School District","Jack Jackter Intermediate School","Non-ELL","*","*","*","*","*"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","ELL","*","*","*","*","*"
"0285111","0280011","Colchester School District","William J. Johnston Middle School","Non-ELL","*","*","*","*","*"
"0290111","0290011","Colebrook School District","Colebrook Consolidated School","Non-ELL","*","*","*","*","*"
"0300111","0300011","Columbia School District","Horace W. Porter School","Non-ELL","6.9","4.1","0.0","4.8","3.4"
"2686113","2680013","Common Ground High School District","Common Ground High School","ELL","*","*","*","*","*"
"2686113","2680013","Common Ground High School District","Common Ground High School","Non-ELL","*","*","*","*","*"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","ELL","*","*","*","19.0","18.6"
"9001516","9000016","Connecticut Technical High School System","A. I. Prince Technical High School","Non-ELL","*","*","*","15.1","18.1"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","ELL","*","*","*","0.0","*"
"9001116","9000016","Connecticut Technical High School System","Bullard-Havens Technical High School","Non-ELL","*","*","*","14.8","*"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","ELL","*","*","*","*","*"
"9001916","9000016","Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-ELL","*","*","*","*","*"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","ELL","18.3","16.7","25.4","33.3","31.7"
"9001416","9000016","Connecticut Technical High School System","Eli Whitney Technical High School","Non-ELL","18.6","26.1","31.6","31.8","28.9"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","ELL","*","*","*","20.7","*"
"9002716","9000016","Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-ELL","*","*","*","19.5","*"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","ELL","*","*","*","*","*"
"9002516","9000016","Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-ELL","*","*","*","*","*"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","ELL","*","*","*","*","*"
"9001716","9000016","Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-ELL","*","*","*","*","*"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","ELL","*","*","*","*","*"
"9001316","9000016","Connecticut Technical High School System","H. H. Ellis Technical High School","Non-ELL","*","*","*","*","*"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","ELL","0.0","0.0","*","*","*"
"9001216","9000016","Connecticut Technical High School System","Henry Abbott Technical High School","Non-ELL","2.5","7.9","*","*","*"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","ELL","*","*","*","*","*"
"9001616","9000016","Connecticut Technical High School System","Howell Cheney Technical High School","Non-ELL","*","*","*","*","*"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","ELL","","","","*","*"
"9002116","9000016","Connecticut Technical High School System","J. M. Wright Technical High School","Non-ELL","","","","*","*"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","ELL","*","*","*","*","*"
"9002016","9000016","Connecticut Technical High School System","Norwich Technical High School","Non-ELL","*","*","*","*","*"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","ELL","","","","*","*"
"9002216","9000016","Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-ELL","12.9","11.4","13.7","*","*"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","ELL","*","*","*","*","*"
"9002616","9000016","Connecticut Technical High School System","Platt Technical High School","Non-ELL","*","*","*","*","*"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","ELL","","*","*","*","*"
"9001816","9000016","Connecticut Technical High School System","Vinal Technical High School","Non-ELL","11.6","*","*","*","*"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","ELL","*","","*","*","*"
"9002316","9000016","Connecticut Technical High School System","W. F. Kaynor Technical High School","Non-ELL","*","6.4","*","*","*"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","ELL","*","*","*","0.0","*"
"9002416","9000016","Connecticut Technical High School System","Windham Technical High School","Non-ELL","*","*","*","6.7","*"
"2439214","2430014","Cooperative Educational Services","Developmental Learning Center (DLC)","Non-ELL","13.2","22.8","17.2","18.7","20.9"
"2439114","2430014","Cooperative Educational Services","Preschool-Primary Learning Center (PLC)","Non-ELL","*","21.8","21.8","24.1","17.5"
"2439314","2430014","Cooperative Educational Services","RISE Transitional Program","Non-ELL","*","*","*","*","*"
"2430114","2430014","Cooperative Educational Services","Six-Six Magnet School","Non-ELL","9.2","7.0","5.0","7.2","6.8"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","ELL","","","","","*"
"2439414","2430014","Cooperative Educational Services","Therapeutic Day Program","Non-ELL","39.8","42.6","39.4","41.9","*"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","ELL","","*","*","*","*"
"0310111","0310011","Cornwall School District","Cornwall Consolidated School","Non-ELL","5.7","*","*","*","*"
"0325111","0320011","Coventry School District","Capt. Nathan Hale School","Non-ELL","4.8","2.9","5.9","6.2","6.8"
"0320111","0320011","Coventry School District","Coventry Academy","Non-ELL","","","","*","*"
"0320211","0320011","Coventry School District","Coventry Grammar School","ELL","","","*","*","*"
"0320211","0320011","Coventry School District","Coventry Grammar School","Non-ELL","5.5","5.1","*","*","*"
"0326111","0320011","Coventry School District","Coventry High School","ELL","*","","*","",""
"0326111","0320011","Coventry School District","Coventry High School","Non-ELL","*","14.2","*","9.7","7.3"
