school_code,district_code,district,school,no,yes,total,year
0630111,0630011,Hampton School District,Hampton Elementary School,*,*,166,2007-08
0640711,0640011,Hartford School District,Asian Studies Academy at Bellizzi School,317,117,434,2007-08
0640311,0640011,Hartford School District,Barnard-Brown School,190,143,333,2007-08
0640411,0640011,Hartford School District,Batchelder School,531,47,578,2007-08
0642811,0640011,Hartford School District,Betances Early Reading Lab Magnet School,257,146,403,2007-08
0643311,0640011,Hartford School District,Breakthrough Magnet School,*,*,320,2007-08
0646111,0640011,Hartford School District,Bulkeley High School Lower School,1155,329,1484,2007-08
0640611,0640011,Hartford School District,Burns Latino Studies Academy,335,198,533,2007-08
0642311,0640011,Hartford School District,Burr School,397,140,537,2007-08
0646911,0640011,Hartford School District,Capital Preparatory Magnet School,*,*,266,2007-08
0642411,0640011,Hartford School District,Clark School,428,14,442,2007-08
0646411,0640011,Hartford School District,Classical Magnet School,611,9,620,2007-08
0645311,0640011,Hartford School District,Dr. Joseph Bellizzi Middle School,302,145,447,2007-08
0640911,0640011,Hartford School District,Environmental Sciences Magnet at Hooker School,322,81,403,2007-08
0643211,0640011,Hartford School District,Expeditionary Learning Academy at Moylan School,454,144,598,2007-08
0645111,0640011,Hartford School District,Fox Middle School,438,23,461,2007-08
0645411,0640011,Hartford School District,Hartford Magnet Trinity College Academy,561,41,602,2007-08
0646211,0640011,Hartford School District,Hartford Public High School,1135,434,1569,2007-08
0649011,0640011,Hartford School District,Hartford Transitional Learning Academy (Elementary),53,11,64,2007-08
0649111,0640011,Hartford School District,Hartford Transitional Learning Academy (Secondary),43,12,55,2007-08
0641011,0640011,Hartford School District,Kennelly School,701,108,809,2007-08
0641111,0640011,Hartford School District,Kinsella Magnet School of Performing Arts,428,89,517,2007-08
0648011,0640011,Hartford School District,Little Owls Learning Center,12,0,12,2007-08
0640811,0640011,Hartford School District,M. D. Fox School,582,242,824,2007-08
0641611,0640011,Hartford School District,"M. L. King, Jr. School",590,10,600,2007-08
0641211,0640011,Hartford School District,McDonough Middle School,314,126,440,2007-08
0641911,0640011,Hartford School District,Milner School,327,33,360,2007-08
0641411,0640011,Hartford School District,Naylor/CCSU Leadership Academy,474,90,564,2007-08
0641511,0640011,Hartford School District,Parkville Community School,431,165,596,2007-08
0646611,0640011,Hartford School District,Pathways Academy of Technology and Design,331,19,350,2007-08
0645211,0640011,Hartford School District,Quirk Middle School,353,222,575,2007-08
0641711,0640011,Hartford School District,Rawson School,*,*,586,2007-08
0640111,0640011,Hartford School District,SAND School,348,18,366,2007-08
0642511,0640011,Hartford School District,STEM Magnet at Fisher School,552,8,560,2007-08
0643011,0640011,Hartford School District,Sanchez School,316,264,580,2007-08
0642611,0640011,Hartford School District,Simpson-Waverly School,*,*,366,2007-08
0646511,0640011,Hartford School District,Sports and Medical Sciences Academy,374,21,395,2007-08
0641811,0640011,Hartford School District,Twain School,*,*,282,2007-08
0646711,0640011,Hartford School District,University High School of Science and Engineering,335,7,342,2007-08
0646311,0640011,Hartford School District,Weaver High School,1231,28,1259,2007-08
0642011,0640011,Hartford School District,Webster Micro Society Magnet School,574,46,620,2007-08
0642111,0640011,Hartford School District,West Middle School,657,111,768,2007-08
0642211,0640011,Hartford School District,Wish Museum School,351,86,437,2007-08
0650111,0650011,Hartland School District,Hartland School,235,0,235,2007-08
0670211,0670011,Hebron School District,Gilead Hill School,*,*,507,2007-08
0670111,0670011,Hebron School District,Hebron Elementary School,697,0,697,2007-08
2860113,2860013,Highville Charter School District,Highville Charter School,277,0,277,2007-08
2640113,2640013,Integrated Day Charter School District,Integrated Day Charter School,322,8,330,2007-08
2655113,2650013,Interdistrict School for Arts and Comm District,Interdistrict School For Arts And Communication,169,12,181,2007-08
2610113,2610013,Jumoke Academy District,Jumoke Academy,369,0,369,2007-08
0680111,0680011,Kent School District,Kent Center School,257,0,257,2007-08
0698011,0690011,Killingly School District,Goodyear Early Childhood Center,*,*,71,2007-08
0690111,0690011,Killingly School District,Killingly Central School,446,9,455,2007-08
0696111,0690011,Killingly School District,Killingly High School,823,13,836,2007-08
0695211,0690011,Killingly School District,Killingly Intermediate School,807,12,819,2007-08
0690311,0690011,Killingly School District,Killingly Memorial School,500,31,531,2007-08
2459014,2450014,Learn,Learn Special Education,35,0,35,2007-08
2450114,2450014,Learn,Regional Multicultural Magnet School,453,75,528,2007-08
2450214,2450014,Learn,The Friendship School,495,19,514,2007-08
0710111,0710011,Lebanon School District,Lebanon Elementary School,*,*,512,2007-08
0715111,0710011,Lebanon School District,Lebanon Middle School,423,0,423,2007-08
0716211,0710011,Lebanon School District,Lyman Memorial High School,*,*,587,2007-08
0720211,0720011,Ledyard School District,Gales Ferry School,*,*,230,2007-08
0720411,0720011,Ledyard School District,Gallup Hill School,350,14,364,2007-08
0720311,0720011,Ledyard School District,Juliet W. Long School,*,*,385,2007-08
0720111,0720011,Ledyard School District,Ledyard Center School,417,6,423,2007-08
0726111,0720011,Ledyard School District,Ledyard High School,1048,11,1059,2007-08
0725111,0720011,Ledyard School District,Ledyard Middle School,*,*,420,2007-08
0730111,0730011,Lisbon School District,Lisbon Central School,575,0,575,2007-08
0740211,0740011,Litchfield School District,Center School,337,0,337,2007-08
0746111,0740011,Litchfield School District,Litchfield High School,624,0,624,2007-08
0740311,0740011,Litchfield School District,Litchfield Intermediate School,250,0,250,2007-08
0766111,0760011,Madison School District,Daniel Hand High School,*,*,1237,2007-08
0760611,0760011,Madison School District,Dr. Robert H. Brown Middle School,*,*,600,2007-08
0760211,0760011,Madison School District,Island Avenue Elementary School,*,*,307,2007-08
0760111,0760011,Madison School District,J. Milton Jeffrey Elementary School,632,0,632,2007-08
0760311,0760011,Madison School District,Kathleen H. Ryerson Elementary School,*,*,348,2007-08
0765211,0760011,Madison School District,Walter C. Polson Upper Middle School,645,0,645,2007-08
0770911,0770011,Manchester School District,Nathan Hale School,314,29,343,2007-08
0770111,0770011,Manchester School District,Bowers School,469,21,490,2007-08
0770311,0770011,Manchester School District,Buckley School,*,*,371,2007-08
0770411,0770011,Manchester School District,Highland Park School,*,*,296,2007-08
0775311,0770011,Manchester School District,Illing Middle School,896,19,915,2007-08
0770611,0770011,Manchester School District,Keeney School,400,17,417,2007-08
0776111,0770011,Manchester School District,Manchester High School,2035,42,2077,2007-08
0778011,0770011,Manchester School District,Manchester Preschool Center,46,0,46,2007-08
0779011,0770011,Manchester School District,Manchester Regional Academy,*,*,90,2007-08
0771611,0770011,Manchester School District,Martin School,*,*,227,2007-08
0771011,0770011,Manchester School District,Robertson School,392,21,413,2007-08
0771211,0770011,Manchester School District,Verplanck School,343,47,390,2007-08
0771311,0770011,Manchester School District,Waddell School,338,22,360,2007-08
0771411,0770011,Manchester School District,Washington School,371,24,395,2007-08
0780411,0780011,Mansfield School District,Annie E. Vinton School,*,*,262,2007-08
0780211,0780011,Mansfield School District,Dorothy C. Goodwin School,195,7,202,2007-08
0785111,0780011,Mansfield School District,Mansfield Middle School,579,15,594,2007-08
0780511,0780011,Mansfield School District,Southeast Elementary School,235,9,244,2007-08
0790111,0790011,Marlborough School District,Elmer Thienes-Mary Hall Elementary School,*,*,660,2007-08
0800711,0800011,Meriden School District,Nathan Hale School,565,57,622,2007-08
0800111,0800011,Meriden School District,Benjamin Franklin School,411,23,434,2007-08
0801111,0800011,Meriden School District,Casimir Pulaski School,653,80,733,2007-08
0806111,0800011,Meriden School District,Francis T. Maloney High School,1227,94,1321,2007-08
0800311,0800011,Meriden School District,Hanover School,495,94,589,2007-08
0800411,0800011,Meriden School District,Israel Putnam School,551,72,623,2007-08
0800511,0800011,Meriden School District,John Barry School,470,68,538,2007-08
0805211,0800011,Meriden School District,Lincoln Middle School,678,99,777,2007-08
0806211,0800011,Meriden School District,Orville H. Platt High School,1177,36,1213,2007-08
0800811,0800011,Meriden School District,Roger Sherman School,516,74,590,2007-08
0801011,0800011,Meriden School District,Thomas Hooker School,312,195,507,2007-08
0805411,0800011,Meriden School District,Washington Middle School,808,60,868,2007-08
0830211,0830011,Middletown School District,Bielefield School,*,*,351,2007-08
0839011,0830011,Middletown School District,DEAL Program,*,*,24,2007-08
0830511,0830011,Middletown School District,Farm Hill School,295,14,309,2007-08
0831511,0830011,Middletown School District,Keigwin Middle School,346,11,357,2007-08
0831311,0830011,Middletown School District,Lawrence School,277,9,286,2007-08
0830911,0830011,Middletown School District,MacDonough School,*,*,220,2007-08
0836211,0830011,Middletown School District,Middletown High School,1321,16,1337,2007-08
0831211,0830011,Middletown School District,Moody School,374,17,391,2007-08
0831111,0830011,Middletown School District,Snow School,*,*,350,2007-08
0830111,0830011,Middletown School District,Spencer School,335,49,384,2007-08
0831411,0830011,Middletown School District,Wesley School,*,*,336,2007-08
0835411,0830011,Middletown School District,Woodrow Wilson Middle School,693,7,700,2007-08
0840111,0840011,Milford School District,Calf Pen Meadow School,*,*,345,2007-08
0845111,0840011,Milford School District,East Shore Middle School,*,*,619,2007-08
0845211,0840011,Milford School District,Harborside Middle School,541,7,548,2007-08
0841911,0840011,Milford School District,J. F. Kennedy School,379,12,391,2007-08
0846211,0840011,Milford School District,Jonathan Law High School,1015,18,1033,2007-08
0846311,0840011,Milford School District,Joseph A. Foran High School,1003,9,1012,2007-08
0841611,0840011,Milford School District,Live Oaks School,339,10,349,2007-08
0841711,0840011,Milford School District,Mathewson School,482,11,493,2007-08
0840711,0840011,Milford School District,Meadowside School,318,40,358,2007-08
0840811,0840011,Milford School District,Orange Avenue School,488,9,497,2007-08
0841811,0840011,Milford School District,Orchard Hills School,430,9,439,2007-08
0841011,0840011,Milford School District,Pumpkin Delight School,269,13,282,2007-08
0841411,0840011,Milford School District,Simon Lake School,358,21,379,2007-08
0846411,0840011,Milford School District,The Academy,*,*,87,2007-08
0845311,0840011,Milford School District,West Shore Middle School,534,16,550,2007-08
0850611,0850011,Monroe School District,Chalk Hill School,679,0,679,2007-08
0850511,0850011,Monroe School District,Fawn Hollow Elementary School,*,*,598,2007-08
0855211,0850011,Monroe School District,Jockey Hollow School,668,0,668,2007-08
0856111,0850011,Monroe School District,Masuk High School,*,*,1402,2007-08
0850111,0850011,Monroe School District,Monroe Elementary School,*,*,361,2007-08
0850311,0850011,Monroe School District,Stepney Elementary School,*,*,513,2007-08
0860711,0860011,Montville School District,Dr. Charles E. Murphy School,409,10,419,2007-08
0865111,0860011,Montville School District,Leonard J. Tyl Middle School,705,8,713,2007-08
0860111,0860011,Montville School District,Mohegan School,348,58,406,2007-08
0866111,0860011,Montville School District,Montville High School,799,29,828,2007-08
0860511,0860011,Montville School District,Oakdale School,462,8,470,2007-08
0869011,0860011,Montville School District,Palmer Academy,30,0,30,2007-08
0880811,0880011,Naugatuck School District,Andrew Avenue School,198,30,228,2007-08
0880111,0880011,Naugatuck School District,Central Avenue School,268,25,293,2007-08
0885111,0880011,Naugatuck School District,City Hill Middle School,495,12,507,2007-08
0880211,0880011,Naugatuck School District,Cross Street Intermediate School,383,17,400,2007-08
0888111,0880011,Naugatuck School District,Head Start,106,0,106,2007-08
0880411,0880011,Naugatuck School District,Hillside Intermediate School,353,31,384,2007-08
0885211,0880011,Naugatuck School District,Hillside Middle School,*,*,301,2007-08
0880511,0880011,Naugatuck School District,Hop Brook Elementary School,329,10,339,2007-08
