"school_code","district_code","district","school","grade","2011_12","2012_13","2013_14","2014_15","2015_16"
"0110511","0110011","Bloomfield School District","Metacomet School","Grade   3","*","*","*","5.0","4.1"
"0110511","0110011","Bloomfield School District","Metacomet School","Grade   4","*","*","*","4.7","6.2"
"3480415","0110011","Bloomfield School District","SAGE","Grade   9","","","","","*"
"0116211","0110011","Bloomfield School District","The Big Picture High School","Grade   9","*","","","",""
"0116211","0110011","Bloomfield School District","The Big Picture High School","Grade 10","*","","","",""
"0116211","0110011","Bloomfield School District","The Big Picture High School","Grade 11","*","","","",""
"0116211","0110011","Bloomfield School District","The Big Picture High School","Grade 12","*","","","",""
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Kindergarten","6.2","10.2","22.5","15.7","11.7"
"0120111","0120011","Bolton School District","Bolton Center School","Kindergarten","0.0","14.6","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Grade   1","*","*","14.5","10.9","*"
"0120111","0120011","Bolton School District","Bolton Center School","Grade   2","*","*","*","10.9","*"
"0120111","0120011","Bolton School District","Bolton Center School","Grade   3","0.0","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Grade   4","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Grade   5","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Grade   6","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Grade   7","*","*","*","11.8","*"
"0120111","0120011","Bolton School District","Bolton Center School","Grade   8","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Grade   9","*","*","*","8.1","0.0"
"0126111","0120011","Bolton School District","Bolton High School","Grade 10","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Grade 11","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Grade 12","*","*","*","*","*"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Kindergarten","","","","*","27.6"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Grade   1","","","","*","*"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Grade   2","","","","","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Kindergarten","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Grade   1","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Grade   2","0.0","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Grade   3","*","*","*","0.0","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Grade   4","*","*","*","0.0","0.0"
"0130111","0130011","Bozrah School District","Fields Memorial School","Grade   5","0.0","*","*","0.0","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Grade   6","0.0","*","*","*","0.0"
"0130111","0130011","Bozrah School District","Fields Memorial School","Grade   7","*","*","*","0.0","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Grade   8","*","*","*","0.0","*"
"0146111","0140011","Branford School District","Branford High School","Grade   9","7.0","5.7","10.4","9.2","7.6"
"0146111","0140011","Branford School District","Branford High School","Grade 10","12.0","10.0","10.7","9.0","6.8"
"0146111","0140011","Branford School District","Branford High School","Grade 11","9.3","14.1","12.6","13.1","11.2"
"0146111","0140011","Branford School District","Branford High School","Grade 12","11.6","12.8","22.8","23.2","16.2"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Grade   9","","","","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Grade 10","","","","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Grade 11","","","","*","*"
