"","phys","phys4","phys6","phys8","phys10","school_id","year"
"353","All Tests - School ","N/A ","N/A ","N/A ","N/A","0090411","201415"
"354","All Tests - District ","24.9 ","34.2 ","55.9 ","41.4","0090411","201415"
"355","Sit & Reach ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"356","Curl Up ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"357","Push Up ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"358","Mile Run/PACER ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"359","All Tests - School ","N/A ","N/A ","N/A ","N/A","0090411","201516"
"360","All Tests - District ","52.8 ","38.6 ","47.3 ","45.7","0090411","201516"
"361","Sit & Reach ","82.1",". ",". ",".","0090511","201314"
"362","Curl Up ","64.2",". ",". ",".","0090511","201314"
"363","Push Up ","56.8",". ",". ",".","0090511","201314"
"364","Mile Run/PACER ","57.4",". ",". ",".","0090511","201314"
"365","All Tests - School ","40.7",". ",". ",".","0090511","201314"
"366","All Tests - District ","40.7","49.5 ","48.1 ","42.4","0090511","201314"
"367","Sit & Reach ","67.3","N/A ","N/A ","N/A","0090511","201415"
"368","Curl Up ","54.6","N/A ","N/A ","N/A","0090511","201415"
"369","Push Up ","54.6","N/A ","N/A ","N/A","0090511","201415"
"370","Mile Run/PACER ","51.7","N/A ","N/A ","N/A","0090511","201415"
"371","All Tests - School ","24.9","N/A ","N/A ","N/A","0090511","201415"
"372","All Tests - District ","24.9","34.2 ","55.9 ","41.4","0090511","201415"
"373","Sit & Reach ","89.6","N/A ","N/A ","N/A","0090511","201516"
"374","Curl Up ","88.7","N/A ","N/A ","N/A","0090511","201516"
"375","Push Up ","72.6","N/A ","N/A ","N/A","0090511","201516"
"376","Mile Run/PACER ","71.2","N/A ","N/A ","N/A","0090511","201516"
"377","All Tests - School ","52.8","N/A ","N/A ","N/A","0090511","201516"
"378","All Tests - District ","52.8","38.6 ","47.3 ","45.7","0090511","201516"
"379","Sit & Reach ",". ","87.4","92",".","0095111","201314"
"380","Curl Up ",". ","80.6","81.6",".","0095111","201314"
"381","Push Up ",". ","54.4","56.1",".","0095111","201314"
"382","Mile Run/PACER ",". ","83","81.6",".","0095111","201314"
"383","All Tests - School ",". ","49.5","48.1",".","0095111","201314"
"384","All Tests - District ","40.7 ","49.5","48.1","42.4","0095111","201314"
