"category","fte","school_id","year"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",25.4,"0070411","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0070411","201516"
"Library/Media: Specialists (Certified) ",1,"0070411","201516"
"Support Staff ",1,"0070411","201516"
"Instructional Specialists Who Support Teachers ",3,"0070411","201516"
"Counselors, Social Workers and School Psychologists ",1.4,"0070411","201516"
"School Nurses ",1,"0070411","201516"
"Other Staff Providing Non-Instructional Services/Support ",9.4,"0070411","201516"
"General Education: Teachers and Instructors ",37.3,"0070511","201314"
"General Education: Paraprofessional Instructional Assistants ",4.5,"0070511","201314"
"Special Education: Teachers and Instructors ",5,"0070511","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5.8,"0070511","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0070511","201314"
"Library/Media: Specialists (Certified) ",1,"0070511","201314"
"Support Staff ",1,"0070511","201314"
"Instructional Specialists Who Support Teachers ",1.5,"0070511","201314"
"Counselors, Social Workers and School Psychologists ",1.4,"0070511","201314"
"School Nurses ",1,"0070511","201314"
"Other Staff Providing Non-Instructional Services/Support ",8.7,"0070511","201314"
"General Education: Teachers and Instructors ",37.3,"0070511","201415"
"General Education: Paraprofessional Instructional Assistants ",5.7,"0070511","201415"
"Special Education: Teachers and Instructors ",3,"0070511","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6.8,"0070511","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0070511","201415"
"Library/Media: Specialists (Certified) ",1,"0070511","201415"
"Support Staff ",1,"0070511","201415"
"Instructional Specialists Who Support Teachers ",2,"0070511","201415"
"Counselors, Social Workers and School Psychologists ",1.4,"0070511","201415"
"School Nurses ",1,"0070511","201415"
"Other Staff Providing Non-Instructional Services/Support ",8.2,"0070511","201415"
"General Education: Teachers and Instructors ",37.3,"0070511","201516"
"General Education: Paraprofessional Instructional Assistants ",7,"0070511","201516"
"Special Education: Teachers and Instructors ",2,"0070511","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0070511","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0070511","201516"
"Library/Media: Specialists (Certified) ",1,"0070511","201516"
"Support Staff ",1,"0070511","201516"
"Instructional Specialists Who Support Teachers ",2,"0070511","201516"
"Counselors, Social Workers and School Psychologists ",1.4,"0070511","201516"
"School Nurses ",1,"0070511","201516"
"Other Staff Providing Non-Instructional Services/Support ",8.9,"0070511","201516"
"General Education: Teachers and Instructors ",52.2,"0075111","201314"
"General Education: Paraprofessional Instructional Assistants ",1.9,"0075111","201314"
"Special Education: Teachers and Instructors ",9,"0075111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6.9,"0075111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0075111","201314"
"Library/Media: Specialists (Certified) ",1,"0075111","201314"
"Support Staff ",1,"0075111","201314"
"Instructional Specialists Who Support Teachers ",1.2,"0075111","201314"
"Counselors, Social Workers and School Psychologists ",5,"0075111","201314"
"School Nurses ",1,"0075111","201314"
"Other Staff Providing Non-Instructional Services/Support ",14.6,"0075111","201314"
"General Education: Teachers and Instructors ",53,"0075111","201415"
"General Education: Paraprofessional Instructional Assistants ",0.9,"0075111","201415"
"Special Education: Teachers and Instructors ",9,"0075111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10.6,"0075111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0075111","201415"
"Library/Media: Specialists (Certified) ",1,"0075111","201415"
"Support Staff ",1,"0075111","201415"
"Instructional Specialists Who Support Teachers ",1,"0075111","201415"
"Counselors, Social Workers and School Psychologists ",5,"0075111","201415"
"School Nurses ",1,"0075111","201415"
"Other Staff Providing Non-Instructional Services/Support ",15.8,"0075111","201415"
"General Education: Teachers and Instructors ",50,"0075111","201516"
"General Education: Paraprofessional Instructional Assistants ",1,"0075111","201516"
"Special Education: Teachers and Instructors ",8,"0075111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0075111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0075111","201516"
"Library/Media: Specialists (Certified) ",1,"0075111","201516"
"Support Staff ",1,"0075111","201516"
"Instructional Specialists Who Support Teachers ",1,"0075111","201516"
"Counselors, Social Workers and School Psychologists ",4,"0075111","201516"
"School Nurses ",1,"0075111","201516"
"Other Staff Providing Non-Instructional Services/Support ",16.6,"0075111","201516"
"General Education: Teachers and Instructors ",70.9,"0076111","201314"
"General Education: Paraprofessional Instructional Assistants ",2.9,"0076111","201314"
"Special Education: Teachers and Instructors ",10.8,"0076111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0076111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",5.6,"0076111","201314"
"Library/Media: Specialists (Certified) ",1,"0076111","201314"
"Support Staff ",1,"0076111","201314"
"Instructional Specialists Who Support Teachers ",2,"0076111","201314"
"Counselors, Social Workers and School Psychologists ",8,"0076111","201314"
"School Nurses ",2,"0076111","201314"
"Other Staff Providing Non-Instructional Services/Support ",25.8,"0076111","201314"
"General Education: Teachers and Instructors ",71.7,"0076111","201415"
"General Education: Paraprofessional Instructional Assistants ",2.9,"0076111","201415"
"Special Education: Teachers and Instructors ",10.8,"0076111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10.1,"0076111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",6.4,"0076111","201415"
"Library/Media: Specialists (Certified) ",1,"0076111","201415"
"Support Staff ",1,"0076111","201415"
"Instructional Specialists Who Support Teachers ",2,"0076111","201415"
"Counselors, Social Workers and School Psychologists ",8.2,"0076111","201415"
"School Nurses ",2,"0076111","201415"
"Other Staff Providing Non-Instructional Services/Support ",25.4,"0076111","201415"
"General Education: Teachers and Instructors ",68.9,"0076111","201516"
"General Education: Paraprofessional Instructional Assistants ",2.9,"0076111","201516"
"Special Education: Teachers and Instructors ",8.8,"0076111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11.9,"0076111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",7.4,"0076111","201516"
"Library/Media: Specialists (Certified) ",1,"0076111","201516"
"Support Staff ",1,"0076111","201516"
"Instructional Specialists Who Support Teachers ",2,"0076111","201516"
"Counselors, Social Workers and School Psychologists ",8,"0076111","201516"
"School Nurses ",2,"0076111","201516"
"Other Staff Providing Non-Instructional Services/Support ",24.3,"0076111","201516"
"General Education: Teachers and Instructors ",36,"0080111","201314"
"General Education: Paraprofessional Instructional Assistants ",2.1,"0080111","201314"
"Special Education: Teachers and Instructors ",6,"0080111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",15.3,"0080111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0080111","201314"
"Library/Media: Specialists (Certified) ",0,"0080111","201314"
"Support Staff ",0.4,"0080111","201314"
"Instructional Specialists Who Support Teachers ",2.8,"0080111","201314"
"Counselors, Social Workers and School Psychologists ",2.4,"0080111","201314"
"School Nurses ",1,"0080111","201314"
"Other Staff Providing Non-Instructional Services/Support ",11.7,"0080111","201314"
"General Education: Teachers and Instructors ",33.6,"0080111","201415"
"General Education: Paraprofessional Instructional Assistants ",1.5,"0080111","201415"
"Special Education: Teachers and Instructors ",6,"0080111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11.7,"0080111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0080111","201415"
"Library/Media: Specialists (Certified) ",1,"0080111","201415"
"Support Staff ",0,"0080111","201415"
"Instructional Specialists Who Support Teachers ",1.6,"0080111","201415"
"Counselors, Social Workers and School Psychologists ",2.4,"0080111","201415"
"School Nurses ",1,"0080111","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.9,"0080111","201415"
"General Education: Teachers and Instructors ",28,"0080111","201516"
"General Education: Paraprofessional Instructional Assistants ",1.3,"0080111","201516"
"Special Education: Teachers and Instructors ",7,"0080111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8.6,"0080111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0080111","201516"
"Library/Media: Specialists (Certified) ",1,"0080111","201516"
"Support Staff ",0,"0080111","201516"
"Instructional Specialists Who Support Teachers ",5.6,"0080111","201516"
"Counselors, Social Workers and School Psychologists ",2.5,"0080111","201516"
"School Nurses ",1,"0080111","201516"
"Other Staff Providing Non-Instructional Services/Support ",10.4,"0080111","201516"
"General Education: Teachers and Instructors ",29.4,"0090111","201314"
"General Education: Paraprofessional Instructional Assistants ",4,"0090111","201314"
"Special Education: Teachers and Instructors ",10,"0090111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"0090111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0090111","201314"
"Library/Media: Specialists (Certified) ",0,"0090111","201314"
"Support Staff ",1,"0090111","201314"
"Instructional Specialists Who Support Teachers ",4,"0090111","201314"
"Counselors, Social Workers and School Psychologists ",1.9,"0090111","201314"
"School Nurses ",1.2,"0090111","201314"
"Other Staff Providing Non-Instructional Services/Support ",8.6,"0090111","201314"
"General Education: Teachers and Instructors ",28.4,"0090111","201415"
"General Education: Paraprofessional Instructional Assistants ",5,"0090111","201415"
"Special Education: Teachers and Instructors ",10,"0090111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0090111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0090111","201415"
"Library/Media: Specialists (Certified) ",1,"0090111","201415"
"Support Staff ",1,"0090111","201415"
"Instructional Specialists Who Support Teachers ",4,"0090111","201415"
"Counselors, Social Workers and School Psychologists ",1.9,"0090111","201415"
"School Nurses ",1.2,"0090111","201415"
"Other Staff Providing Non-Instructional Services/Support ",8.6,"0090111","201415"
"General Education: Teachers and Instructors ",27.1,"0090111","201516"
"General Education: Paraprofessional Instructional Assistants ",5,"0090111","201516"
"Special Education: Teachers and Instructors ",9,"0090111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0090111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0090111","201516"
"Library/Media: Specialists (Certified) ",0,"0090111","201516"
"Support Staff ",1,"0090111","201516"
"Instructional Specialists Who Support Teachers ",4,"0090111","201516"
"Counselors, Social Workers and School Psychologists ",1.9,"0090111","201516"
