"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",08,"R",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,"F",38,38,100.0,38,"*","*","*","*","*","*","*","*","*","*","*","*",253
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,"N",157,152,96.8,152,"*","*","*","*",50,32.9,37,24.3,51,33.6,88,57.9,273
"Branford School District","=""0140011""","Branford High School","=""0146111""",10,"R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,"F",63,63,100.0,63,14,22.2,22,34.9,16,25.4,"*","*","*","*",11,17.5,210
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",05,"R",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,"F",67,66,98.5,66,16,24.2,"*","*",17,25.8,17,25.8,"*","*","*","*",229
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",08,"R",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",10,"F",30,30,100.0,30,11,36.7,7,23.3,9,30.0,"*","*","*","*","*","*",205
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",05,"F",63,62,98.4,62,27,43.5,15,24.2,11,17.7,"*","*","*","*",9,14.5,200
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",08,"F",50,50,100.0,50,28,56.0,"*","*",9,18.0,"*","*",0,0.0,"*","*",202
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",05,"F",42,42,100.0,42,"*","*",16,38.1,13,31.0,"*","*",0,0.0,"*","*",211
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",05,"F",42,42,100.0,42,"*","*",11,26.2,7,16.7,15,35.7,"*","*","*","*",242
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",08,"F",46,46,100.0,46,12,26.1,9,19.6,9,19.6,16,34.8,0,0.0,16,34.8,225
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",05,"F",50,49,98.0,49,13,26.5,12,24.5,18,36.7,6,12.2,0,0.0,6,12.2,208
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",05,"F",80,80,100.0,80,34,42.5,24,30.0,18,22.5,"*","*","*","*","*","*",194
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",08,"F",49,49,100.0,49,22,44.9,"*","*",13,26.5,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",10,"F",129,128,99.2,121,24,19.8,26,21.5,54,44.6,10,8.3,7,5.8,17,14.0,224
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",05,"F",34,33,97.1,33,10,30.3,"*","*",10,30.3,"*","*",0,0.0,"*","*",207
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",10,"F",133,127,95.5,126,10,7.9,17,13.5,38,30.2,26,20.6,35,27.8,61,48.4,263
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",05,"F",89,88,98.9,88,59,67.0,14,15.9,9,10.2,6,6.8,0,0.0,6,6.8,177
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",08,"F",118,114,96.6,114,91,79.8,10,8.8,"*","*","*","*",0,0.0,"*","*",182
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",05,"F",28,28,100.0,28,"*","*",7,25.0,11,39.3,"*","*","*","*","*","*",223
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",05,"F",28,28,100.0,28,"*","*",9,32.1,8,28.6,"*","*",0,0.0,"*","*",211
