"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",05,53,53,100.0,53,13,24.5,14,26.4,15,28.3,"*","*","*","*",11,20.8,214
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",08,44,44,100.0,44,19,43.2,7,15.9,11,25.0,7,15.9,0,0.0,7,15.9,209
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",10,32,30,93.8,30,16,53.3,8,26.7,"*","*","*","*",0,0.0,"*","*",190
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",05,22,22,100.0,22,"*","*",6,27.3,7,31.8,6,27.3,"*","*","*","*",231
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""",08,16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""",05,69,69,100.0,69,9,13.0,10,14.5,18,26.1,25,36.2,7,10.1,32,46.4,241
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",05,26,26,100.0,26,0,0.0,0,0.0,6,23.1,10,38.5,10,38.5,20,76.9,282
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""",08,21,21,100.0,21,"*","*","*","*","*","*",13,61.9,0,0.0,13,61.9,251
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""",10,6,0,"*",0,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",08,208,208,100.0,208,44,21.2,21,10.1,41,19.7,79,38.0,23,11.1,102,49.0,243
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",10,96,95,99.0,95,13,13.7,20,21.1,33,34.7,14,14.7,15,15.8,29,30.5,240
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""",08,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",10,62,50,80.6,50,23,46.0,10,20.0,14,28.0,"*","*","*","*","*","*",198
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",10,124,110,88.7,105,59,56.2,22,21.0,17,16.2,"*","*","*","*",7,6.7,191
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",08,124,124,100.0,124,36,29.0,"*","*",27,21.8,38,30.6,"*","*","*","*",226
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",10,96,95,99.0,95,17,17.9,22,23.2,34,35.8,12,12.6,10,10.5,22,23.2,233
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",08,87,87,100.0,87,18,20.7,"*","*",20,23.0,34,39.1,"*","*","*","*",245
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",10,111,109,98.2,109,14,12.8,15,13.8,43,39.4,22,20.2,15,13.8,37,33.9,245
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",10,113,103,91.2,102,22,21.6,24,23.5,24,23.5,18,17.6,14,13.7,32,31.4,234
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""",10,113,108,95.6,108,"*","*","*","*",30,27.8,18,16.7,46,42.6,64,59.3,280
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",05,40,39,97.5,39,"*","*",7,17.9,14,35.9,11,28.2,"*","*","*","*",234
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",08,51,51,100.0,51,"*","*",11,21.6,10,19.6,16,31.4,"*","*","*","*",238
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",10,59,59,100.0,59,"*","*",23,39.0,18,30.5,8,13.6,"*","*","*","*",228
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",10,56,49,87.5,49,34,69.4,9,18.4,"*","*","*","*",0,0.0,"*","*",184
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",10,76,66,86.8,65,42,64.6,14,21.5,"*","*","*","*",0,0.0,"*","*",184
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",10,87,82,94.3,82,44,53.7,25,30.5,10,12.2,"*","*","*","*","*","*",191
"Hartford School District","=""0640011""","High School Inc.","=""0647611""",10,43,36,83.7,35,21,60.0,"*","*","*","*",0,0.0,0,0.0,0,0.0,181
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",10,49,48,98.0,48,15,31.3,14,29.2,13,27.1,"*","*","*","*",6,12.5,215
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",10,61,61,100.0,61,"*","*",11,18.0,29,47.5,11,18.0,"*","*","*","*",243
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""",10,10,6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","LC - Burns","=""0649611""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","LC - Burns","=""0649611""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""",05,22,22,100.0,22,"*","*",0,0.0,"*","*","*","*","*","*","*","*",273
"Hartland School District","=""0650011""","Hartland School","=""0650111""",08,16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",05,40,40,100.0,40,13,32.5,9,22.5,10,25.0,"*","*","*","*",8,20.0,212
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",08,37,37,100.0,37,12,32.4,"*","*",11,29.7,"*","*",0,0.0,"*","*",225
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",10,20,20,100.0,20,7,35.0,"*","*","*","*",0,0.0,0,0.0,0,0.0,198
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",05,33,31,93.9,31,"*","*","*","*","*","*",11,35.5,"*","*","*","*",234
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",08,35,35,100.0,35,"*","*","*","*","*","*",18,51.4,"*","*","*","*",247
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",08,87,86,98.9,86,23,26.7,16,18.6,"*","*",31,36.0,"*","*","*","*",233
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",05,76,76,100.0,76,"*","*",15,19.7,25,32.9,"*","*","*","*","*","*",220
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",08,86,85,98.8,85,21,24.7,"*","*","*","*",27,31.8,"*","*","*","*",233
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""",10,14,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","Kent Center School","=""0680111""",05,27,27,100.0,27,0,0.0,0,0.0,"*","*",13,48.1,"*","*","*","*",298
"Kent School District","=""0680011""","Kent Center School","=""0680111""",08,20,20,100.0,20,0,0.0,0,0.0,"*","*",15,75.0,"*","*","*","*",271
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",05,156,154,98.7,154,9,5.8,21,13.6,39,25.3,73,47.4,12,7.8,85,55.2,247
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",08,175,173,98.9,173,18,10.4,12,6.9,39,22.5,91,52.6,13,7.5,104,60.1,253
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",10,182,175,96.2,175,22,12.6,30,17.1,58,33.1,44,25.1,21,12.0,65,37.1,243
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",05,84,82,97.6,82,"*","*","*","*",13,15.9,46,56.1,15,18.3,61,74.4,268
"Learn","=""2450014""","LEARN Pathways Program","=""2450514""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Learn SAILS Middle School Program","=""2450814""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","LEARN SAILS Program at Salem","=""2451014""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",08,48,48,100.0,48,18,37.5,"*","*",13,27.1,8,16.7,"*","*","*","*",216
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",10,115,111,96.5,110,36,32.7,27,24.5,25,22.7,14,12.7,8,7.3,22,20.0,219
"Learn","=""2450014""","Marine Science Magnet High School of Southeastern Connecticut","=""2456114""",10,60,58,96.7,58,0,0.0,"*","*",17,29.3,"*","*",30,51.7,"*","*",290
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",05,"*","*","*","*","*","*","*","*","*","*",36,58.1,"*","*","*","*","*"
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",08,81,81,100.0,81,"*","*","*","*",16,19.8,44,54.3,14,17.3,58,71.6,268
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",10,94,93,98.9,93,"*","*",8,8.6,28,30.1,"*","*",22,23.7,"*","*",265
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""",05,61,61,100.0,61,0,0.0,6,9.8,8,13.1,27,44.3,20,32.8,47,77.0,280
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""",05,71,71,100.0,71,0,0.0,"*","*","*","*",33,46.5,25,35.2,58,81.7,283
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",05,35,34,97.1,34,"*","*","*","*",7,20.6,15,44.1,9,26.5,24,70.6,275
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",08,158,158,100.0,158,10,6.3,8,5.1,27,17.1,91,57.6,22,13.9,113,71.5,262
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",10,192,188,97.9,188,"*","*","*","*",53,28.2,41,21.8,76,40.4,117,62.2,281
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",05,45,45,100.0,45,"*","*","*","*",10,22.2,14,31.1,"*","*","*","*",258
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",08,41,41,100.0,41,"*","*","*","*",9,22.0,20,48.8,"*","*","*","*",256
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""",05,68,68,100.0,68,0,0.0,"*","*","*","*",23,33.8,40,58.8,63,92.6,304
"Litchfield School District","=""0740011""","Litchfield Middle School","=""0746011""",08,89,89,100.0,89,"*","*","*","*",8,9.0,47,52.8,25,28.1,72,80.9,274
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",10,"*","*","*","*","*","*","*","*",18,28.6,"*","*","*","*","*","*","*"
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",05,204,196,96.1,196,"*","*","*","*",38,19.4,105,53.6,43,21.9,148,75.5,273
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""",08,278,267,96.0,267,"*","*","*","*",34,12.7,146,54.7,71,26.6,217,81.3,276
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",10,293,285,97.3,285,"*","*","*","*",60,21.1,84,29.5,121,42.5,205,71.9,285
"Manchester School District","=""0770011""","Bowers School","=""0770111""",05,71,69,97.2,69,10,14.5,14,20.3,18,26.1,16,23.2,11,15.9,27,39.1,238
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""",08,9,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Bentley Alternative Education Program","=""0770211""",10,9,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""",05,64,64,100.0,64,"*","*","*","*",11,17.2,30,46.9,13,20.3,43,67.2,260
"Manchester School District","=""0770011""","Highland Park School","=""0770411""",05,42,42,100.0,42,"*","*","*","*","*","*",25,59.5,6,14.3,31,73.8,259
"Manchester School District","=""0770011""","Keeney School","=""0770611""",05,49,49,100.0,49,9,18.4,"*","*",17,34.7,11,22.4,"*","*","*","*",231
"Manchester School District","=""0770011""","New Horizons","=""0770711""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","New Horizons","=""0770711""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Robertson School","=""0771011""",05,44,44,100.0,44,"*","*",8,18.2,12,27.3,18,40.9,"*","*","*","*",235
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",05,58,58,100.0,58,"*","*",11,19.0,16,27.6,22,37.9,"*","*","*","*",234
"Manchester School District","=""0770011""","Waddell School","=""0771311""",05,52,50,96.2,50,"*","*","*","*",11,22.0,21,42.0,7,14.0,28,56.0,247
"Manchester School District","=""0770011""","Washington School","=""0771411""",05,50,50,100.0,50,16,32.0,15,30.0,9,18.0,10,20.0,0,0.0,10,20.0,209
"Manchester School District","=""0770011""","Martin School","=""0771611""",05,38,38,100.0,38,"*","*",7,18.4,9,23.7,12,31.6,"*","*","*","*",233
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",05,6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",08,356,353,99.2,353,79,22.4,42,11.9,74,21.0,140,39.7,18,5.1,158,44.8,235
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",10,366,352,96.2,352,75,21.3,69,19.6,109,31.0,52,14.8,47,13.4,99,28.1,233
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",08,6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",10,9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",05,139,136,97.8,136,7,5.1,9,6.6,19,14.0,57,41.9,44,32.4,101,74.3,274
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""",08,138,138,100.0,138,"*","*","*","*",13,9.4,61,44.2,60,43.5,121,87.7,293
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""",05,91,91,100.0,91,"*","*","*","*",10,11.0,40,44.0,34,37.4,74,81.3,284
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",05,65,64,98.5,64,"*","*",10,15.6,18,28.1,28,43.8,"*","*","*","*",242
"Meriden School District","=""0800011""","Hanover School","=""0800311""",05,74,74,100.0,74,22,29.7,"*","*",18,24.3,20,27.0,"*","*","*","*",219
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",05,96,95,99.0,95,17,17.9,19,20.0,20,21.1,32,33.7,7,7.4,39,41.1,229
"Meriden School District","=""0800011""","John Barry School","=""0800511""",05,67,66,98.5,66,21,31.8,19,28.8,16,24.2,10,15.2,0,0.0,10,15.2,205
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",05,106,106,100.0,106,15,14.2,26,24.5,26,24.5,34,32.1,"*","*","*","*",230
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",05,62,62,100.0,62,"*","*",16,25.8,19,30.6,16,25.8,"*","*","*","*",222
"Meriden School District","=""0800011""","STEP-Meriden School District","=""0800911""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",05,50,50,100.0,50,"*","*","*","*",9,18.0,24,48.0,12,24.0,36,72.0,274
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",05,117,116,99.1,116,"*","*",26,22.4,39,33.6,36,31.0,"*","*","*","*",233
"Meriden School District","=""0800011""","STEPS-Meriden School District","=""0801211""",08,13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Venture Academy-Meriden School District","=""0801311""",10,16,12,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Success Academy","=""0801411""",10,7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",08,247,242,98.0,242,52,21.5,34,14.0,49,20.2,94,38.8,13,5.4,107,44.2,236
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",08,226,217,96.0,217,86,39.6,"*","*",43,19.8,45,20.7,"*","*","*","*",215
