"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Special Education Status (SWD)"

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",08,"N",29,26,89.7,26,"*","*","*","*","*","*","*","*","*","*","*","*",228
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",08,"Y",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",05,"N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*","*","*",200
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",05,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",08,"N",116,116,100.0,116,"*","*","*","*","*","*","*","*","*","*","*","*",197
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",08,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",10,"N",75,75,100.0,70,31,44.3,"*","*","*","*","*","*","*","*","*","*",198
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",10,"Y",22,20,90.9,20,14,70.0,"*","*","*","*",0,0.0,0,0.0,0,0.0,179
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",05,"N",42,42,100.0,42,"*","*","*","*",14,33.3,18,42.9,"*","*","*","*",253
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",08,"N",39,39,100.0,39,"*","*","*","*",11,28.2,19,48.7,"*","*","*","*",257
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",05,"N",58,57,98.3,57,"*","*","*","*","*","*","*","*",0,0.0,"*","*",222
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",05,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",05,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",05,"N",44,44,100.0,44,"*","*","*","*","*","*","*","*","*","*","*","*",208
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",08,"N",61,60,98.4,60,"*","*","*","*","*","*","*","*",0,0.0,"*","*",209
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",08,"Y",19,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Read School","=""0152511""",05,"N",68,67,98.5,67,"*","*","*","*","*","*","*","*","*","*","*","*",208
"Bridgeport School District","=""0150011""","Read School","=""0152511""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
