district_code,district,school_code,school,grade,diff,drg,year
0890011,New Britain School District,0000000,District,59.721199533,-1.8324237215,I,2014-15
0180011,Brookfield School District,0000000,District,86.5055073759,-3.10672864403,B,2014-15
0250011,Cheshire School District,0255111,Dodd Middle School,84.0362657074,-13.2687844292,B,2014-15
0250011,Cheshire School District,0255111,Dodd Middle School,70.7674812782,-13.2687844292,B,2015-16
1350011,Stamford School District,1355311,Dolan School,60.6534759293,-4.53236100911,H,2015-16
1350011,Stamford School District,1355311,Dolan School,65.1858369384,-4.53236100911,H,2014-15
0440011,East Haven School District,0441311,Dominick H. Ferrara School,77.657056864,0.485278267671,G,2015-16
0440011,East Haven School District,0441311,Dominick H. Ferrara School,77.1717785964,0.485278267671,G,2014-15
0250011,Cheshire School District,0250611,Doolittle School,89.4200242671,-11.8907189207,B,2014-15
0250011,Cheshire School District,0250611,Doolittle School,77.5293053464,-11.8907189207,B,2015-16
0780011,Mansfield School District,0780211,Dorothy C. Goodwin School,94.6325020872,-4.57874059897,C,2014-15
0780011,Mansfield School District,0780211,Dorothy C. Goodwin School,90.0537614882,-4.57874059897,C,2015-16
0860011,Montville School District,0860711,Dr. Charles E. Murphy School,77.5597749469,-4.22562950752,F,2015-16
0860011,Montville School District,0860711,Dr. Charles E. Murphy School,81.7854044544,-4.22562950752,F,2014-15
0430011,East Hartford School District,0430611,Dr. Franklin H. Mayberry School,66.4274053766,-6.71683604037,H,2014-15
0430011,East Hartford School District,0430611,Dr. Franklin H. Mayberry School,59.7105693362,-6.71683604037,H,2015-16
0220011,Canterbury School District,0225111,Dr. Helen Baldwin Middle School,74.0347831024,-9.45221196153,F,2015-16
0220011,Canterbury School District,0225111,Dr. Helen Baldwin Middle School,83.4869950639,-9.45221196153,F,2014-15
0640011,Hartford School District,0641411,Dr. James H Naylor/CCSU Leadership Academy,65.4739922572,1.35900777035,I,2015-16
0640011,Hartford School District,0641411,Dr. James H Naylor/CCSU Leadership Academy,64.1149844868,1.35900777035,I,2014-15
0430011,East Hartford School District,0432211,Dr. John A. Langford School,59.2140141211,-5.63591451683,H,2015-16
0430011,East Hartford School District,0432211,Dr. John A. Langford School,64.849928638,-5.63591451683,H,2014-15
0760011,Madison School District,0760611,Dr. Robert H. Brown Middle School,86.0299456328,-18.1867332903,B,2014-15
